tag,release_datetime
v1.0.415,2024-09-06T09:42:14
367e78a,2024-09-06T10:59:00
v1.0.416,2024-09-09T11:08:08
v1.0.417,2024-09-12T09:48:52
4774769,2024-09-16T07:41:50
v1.0.418,2024-09-19T08:59:02
v1.0.419,2024-09-26T09:20:16
v1.0.421,2024-10-03T08:59:13
v1.0.422,2024-10-10T09:37:34
v1.0.423,2024-10-11T10:48:26
v1.0.424,2024-10-17T08:23:07
f29cb50,2024-10-23T09:06:56
v1.0.425,2024-10-24T09:00:01
72dbac6,2024-10-24T14:28:17
f09e033,2024-10-24T14:57:19
v1.0.426,2024-10-31T10:19:25
0e98cf9,2024-11-05T14:01:35
v1.0.427,2024-11-07T13:55:21
v1.0.428,2024-11-15T11:34:02
1e11d8d,2024-11-19T15:08:59
v1.0.429,2024-11-21T14:03:54
d4c45da,2024-11-22T11:34:25
30bb085,2024-11-25T11:09:25
v1.0.430,2024-11-28T10:14:54
v1.0.431,2024-12-05T10:07:23
v1.0.432,2025-01-08T15:01:30
v1.0.433,2025-01-16T09:14:23
v1.0.434,2025-01-23T11:00:33
v1.0.435,2025-02-04T13:20:41
v1.0.436,2025-02-07T10:03:51
v1.0.437,2025-02-13T09:40:06
b401dd66,2025-02-26T08:12:41
v1.1.0,2025-02-26T10:18:13
v1.1.1,2025-03-06T08:46:15
d4cfcee3,2025-03-11T10:29:43
v1.1.2,2025-03-13T09:05:08
f7d8bbdb,2025-03-18T14:21:36
v1.1.3,2025-03-20T09:31:45
v1.1.4,2025-03-27T11:25:07
a5a9eb01,2025-04-02T08:31:51
v1.1.5,2025-04-03T09:42:10
v1.1.6,2025-04-11T07:28:01
9abeda75,2025-04-16T12:27:25
v1.1.7,2025-04-24T10:04:53
d3e663f1,2025-04-28T14:02:53
bdab252a,2025-05-02T08:42:09
v1.1.8,2025-05-08T09:23:31
v1.1.9,2025-05-15T15:08:21
v1.2.0,2025-05-29T09:21:46
2554ba78,2025-06-04T17:24:29
v1.2.1,2025-06-09T11:13:34
v1.2.3,2025-06-13T09:07:18
v1.3.0,2025-06-20T15:07:28
dbec68fd,2025-07-01T10:37:38
v1.3.1,2025-07-07T12:46:29
v1.3.2,2025-07-14T08:06:53
v1.3.3,2025-07-17T08:33:28
v1.3.4,2025-07-23T14:42:44
v1.3.5,2025-07-24T09:34:08
v1.3.6,2025-07-31T10:01:55
4599c8a3,2025-08-01T11:23:34
9184d873,2025-08-04T11:57:36
v1.3.7,2025-08-08T10:35:51
v1.3.8,2025-08-13T22:42:04
v1.3.9,2025-08-27T11:00:40
5eb5aacb,2025-09-01T11:19:01
v1.3.10,2025-09-01T14:29:14
v1.3.11,2025-09-03T11:59:15
281ae99a,2025-09-10T12:28:39
v1.4.1,2025-09-11T11:11:16
5a0bec30,2025-09-12T13:19:04
v1.4.2,2025-09-17T10:20:29
f8303f18,2025-10-01T10:01:08
a2160ea8,2025-10-01T10:49:07
v1.4.3,2025-10-01T11:48:59
v1.4.4,2025-10-01T13:31:05
10a68996,2025-10-05T08:23:12
f3db1937,2025-10-06T16:32:56
v1.4.5,2025-10-08T11:49:53
v1.4.6,2025-10-16T13:23:26
v1.4.7,2025-10-23T10:00:13
1e58c40,2025-10-29T10:28:41
v1.4.8,2025-10-29T13:44:42
v1.4.9,2025-10-29T14:10:17
8fa6919,2025-11-03T14:43:50
v1.4.10,2025-11-05T12:21:47
v1.4.11,2025-11-06T12:30:04
v1.4.12,2025-11-06T16:06:04
v1.4.13,2025-11-13T09:49:09
8f75512,2025-11-18T09:20:35
b7568b9,2025-11-18T10:43:05
v1.4.15,2025-11-20T11:27:05
9c268d3,2025-11-24T15:19:04
v1.4.16,2025-11-26T15:45:44
51369b2,2025-11-27T13:14:23
v1.4.17,2025-12-03T12:14:49
v1.4.18,2025-12-10T11:42:55
v1.5.0,2025-12-16T10:46:07
v1.6.0,2026-01-07T15:20:20
v1.6.1,2026-01-14T14:38:53
v1.6.2,2026-01-21T10:10:30
v1.6.3,2026-01-23T09:18:44
v1.6.4,2026-01-28T16:18:58
v1.6.5,2026-01-29T10:29:35
v1.7.0,2026-02-04T15:09:08
v1.7.2,2026-02-11T12:23:41
v1.8.0,2026-02-19T07:19:19
2d57379,2026-02-20T15:10:11
